id,name,avatar,details_path,types,total,hp,attack,defense,sp_attack,sp_defense,speed,entry
16,Pidgey,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png,/pokedex/pidgey,"['Normal', 'Flying']",251,40,45,40,35,35,56,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png,/pokedex/pidgeotto,"['Normal', 'Flying']",349,63,60,55,50,50,71,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,Pidgeot,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png,/pokedex/pidgeot,"['Normal', 'Flying']",479,83,80,75,70,70,101,83
18,Mega Pidgeot,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png,/pokedex/pidgeot,"['Normal', 'Flying']",579,83,80,80,135,80,121,83
19,Rattata,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png,/pokedex/rattata,['Normal'],253,30,56,35,25,35,72,30
19,Alolan Rattata,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png,/pokedex/rattata,"['Dark', 'Normal']",253,30,56,35,25,35,72,30
20,Raticate,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png,/pokedex/raticate,['Normal'],413,55,81,60,50,70,97,75
20,Alolan Raticate,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png,/pokedex/raticate,"['Dark', 'Normal']",413,75,71,70,40,80,77,75
21,Spearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png,/pokedex/spearow,"['Normal', 'Flying']",262,40,60,30,31,31,70,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,Fearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png,/pokedex/fearow,"['Normal', 'Flying']",442,65,90,65,61,61,100,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,Ekans,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png,/pokedex/ekans,['Poison'],288,35,60,44,40,54,55,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png,/pokedex/arbok,['Poison'],448,60,95,69,65,79,80,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png,/pokedex/pikachu,['Electric'],320,35,55,40,50,50,90,
25,Partner Pikachu,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png,/pokedex/pikachu,['Electric'],430,45,80,50,75,60,120,
26,Raichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png,/pokedex/raichu,['Electric'],485,60,90,55,90,80,110,
26,Alolan Raichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png,/pokedex/raichu,"['Electric', 'Psychic']",485,60,85,50,95,85,110,
27,Sandshrew,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png,/pokedex/sandshrew,['Ground'],300,50,75,85,20,30,40,50
27,Alolan Sandshrew,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png,/pokedex/sandshrew,"['Ice', 'Steel']",300,50,75,90,10,35,40,50
28,Sandslash,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png,/pokedex/sandslash,['Ground'],450,75,100,110,45,55,65,75
28,Alolan Sandslash,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png,/pokedex/sandslash,"['Ice', 'Steel']",450,75,100,120,25,65,65,75
29,Nidoran♀,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png,/pokedex/nidoran-f,['Poison'],275,55,47,52,40,40,41,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,Nidorina,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png,/pokedex/nidorina,['Poison'],365,70,62,67,55,55,56,The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png,/pokedex/nidoqueen,"['Poison', 'Ground']",505,90,92,87,75,85,76,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran♂,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png,/pokedex/nidoran-m,['Poison'],273,46,57,40,40,40,50,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Nidorino,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png,/pokedex/nidorino,['Poison'],365,61,72,57,55,55,65,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png,/pokedex/nidoking,"['Poison', 'Ground']",505,81,102,77,85,75,85,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones."
35,Clefairy,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png,/pokedex/clefairy,['Fairy'],323,70,45,48,60,65,35,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png,/pokedex/clefable,['Fairy'],483,95,70,73,95,90,60,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png,/pokedex/vulpix,['Fire'],299,38,41,40,50,65,65,
37,Alolan Vulpix,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png,/pokedex/vulpix,['Ice'],299,38,41,40,50,65,65,
38,Ninetales,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png,/pokedex/ninetales,['Fire'],505,73,76,75,81,100,100,
38,Alolan Ninetales,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png,/pokedex/ninetales,"['Ice', 'Fairy']",505,73,67,75,81,100,109,
39,Jigglypuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png,/pokedex/jigglypuff,"['Normal', 'Fairy']",270,115,45,20,45,25,20,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png,/pokedex/wigglytuff,"['Normal', 'Fairy']",435,140,70,45,85,50,45,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png,/pokedex/zubat,"['Poison', 'Flying']",245,40,45,35,30,40,55,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png,/pokedex/golbat,"['Poison', 'Flying']",455,75,80,70,65,75,90,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png,/pokedex/oddish,"['Grass', 'Poison']",320,45,50,55,75,65,30,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png,/pokedex/gloom,"['Grass', 'Poison']",395,60,65,70,85,75,40,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.
45,Vileplume,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png,/pokedex/vileplume,"['Grass', 'Poison']",490,75,80,85,110,90,50,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,Paras,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png,/pokedex/paras,"['Bug', 'Grass']",285,35,70,55,45,55,25,
47,Parasect,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png,/pokedex/parasect,"['Bug', 'Grass']",405,60,95,80,60,80,30,
48,Venonat,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png,/pokedex/venonat,"['Bug', 'Poison']",305,60,55,50,40,55,45,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png,/pokedex/venomoth,"['Bug', 'Poison']",450,70,65,60,90,75,90,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,Diglett,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png,/pokedex/diglett,['Ground'],265,10,55,25,35,45,95,10
50,Alolan Diglett,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett-alolan.png,/pokedex/diglett,"['Ground', 'Steel']",265,10,55,30,35,45,90,10
51,Dugtrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png,/pokedex/dugtrio,['Ground'],425,35,100,50,50,70,120,35
51,Alolan Dugtrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio-alolan.png,/pokedex/dugtrio,"['Ground', 'Steel']",425,35,100,60,50,70,110,35
52,Meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png,/pokedex/meowth,['Normal'],290,40,45,35,40,40,90,40
52,Alolan Meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-alolan.png,/pokedex/meowth,['Dark'],290,40,35,35,50,40,90,40
52,Galarian Meowth,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-galarian.png,/pokedex/meowth,['Steel'],290,50,65,55,40,40,40,40
53,Persian,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png,/pokedex/persian,['Normal'],440,65,70,60,65,65,115,65
53,Alolan Persian,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian-alolan.png,/pokedex/persian,['Dark'],440,65,60,60,75,65,115,65
54,Psyduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png,/pokedex/psyduck,['Water'],320,50,52,48,65,50,55,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,Golduck,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png,/pokedex/golduck,['Water'],500,80,82,78,95,80,85,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png,/pokedex/mankey,['Fighting'],305,40,80,35,35,45,70,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png,/pokedex/primeape,['Fighting'],455,65,105,60,60,70,95,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png,/pokedex/growlithe,['Fire'],350,55,70,45,70,50,60,
58,Hisuian Growlithe,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,/pokedex/growlithe,"['Fire', 'Rock']",350,60,75,45,65,50,55,
59,Arcanine,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png,/pokedex/arcanine,['Fire'],555,90,110,80,100,80,95,
59,Hisuian Arcanine,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,/pokedex/arcanine,"['Fire', 'Rock']",555,95,115,80,95,80,90,
60,Poliwag,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png,/pokedex/poliwag,['Water'],300,40,50,40,40,40,90,
61,Poliwhirl,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png,/pokedex/poliwhirl,['Water'],385,65,65,65,50,50,90,
62,Poliwrath,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png,/pokedex/poliwrath,"['Water', 'Fighting']",510,90,95,95,70,90,70,
63,Abra,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png,/pokedex/abra,['Psychic'],310,25,20,15,105,55,90,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png,/pokedex/kadabra,['Psychic'],400,40,35,30,120,70,105,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png,/pokedex/alakazam,['Psychic'],500,55,50,45,135,95,120,55
65,Mega Alakazam,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png,/pokedex/alakazam,['Psychic'],600,55,50,65,175,105,150,55
66,Machop,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png,/pokedex/machop,['Fighting'],305,70,80,50,35,35,35,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png,/pokedex/machoke,['Fighting'],405,80,100,70,50,60,45,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png,/pokedex/machamp,['Fighting'],505,90,130,80,65,85,55,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png,/pokedex/bellsprout,"['Grass', 'Poison']",300,50,75,35,70,30,40,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png,/pokedex/weepinbell,"['Grass', 'Poison']",390,65,90,50,85,45,55,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png,/pokedex/victreebel,"['Grass', 'Poison']",490,80,105,65,100,70,70,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png,/pokedex/tentacool,"['Water', 'Poison']",335,40,40,35,50,100,70,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png,/pokedex/tentacruel,"['Water', 'Poison']",515,80,70,65,80,120,100,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png,/pokedex/geodude,"['Rock', 'Ground']",300,40,80,100,30,30,20,40
74,Alolan Geodude,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png,/pokedex/geodude,"['Rock', 'Electric']",300,40,80,100,30,30,20,40
75,Graveler,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png,/pokedex/graveler,"['Rock', 'Ground']",390,55,95,115,45,45,35,55
75,Alolan Graveler,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png,/pokedex/graveler,"['Rock', 'Electric']",390,55,95,115,45,45,35,55
76,Golem,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png,/pokedex/golem,"['Rock', 'Ground']",495,80,120,130,55,65,45,80
76,Alolan Golem,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png,/pokedex/golem,"['Rock', 'Electric']",495,80,120,130,55,65,45,80
77,Ponyta,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png,/pokedex/ponyta,['Fire'],410,50,85,55,65,65,90,
77,Galarian Ponyta,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png,/pokedex/ponyta,['Psychic'],410,50,85,55,65,65,90,
78,Rapidash,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png,/pokedex/rapidash,['Fire'],500,65,100,70,80,80,105,
78,Galarian Rapidash,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png,/pokedex/rapidash,"['Psychic', 'Fairy']",500,65,100,70,80,80,105,
79,Slowpoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png,/pokedex/slowpoke,"['Water', 'Psychic']",315,90,65,65,40,40,15,90
79,Galarian Slowpoke,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png,/pokedex/slowpoke,['Psychic'],315,90,65,65,40,40,15,90
80,Slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png,/pokedex/slowbro,"['Water', 'Psychic']",490,95,75,110,100,80,30,95
80,Mega Slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png,/pokedex/slowbro,"['Water', 'Psychic']",590,95,75,180,130,80,30,95
80,Galarian Slowbro,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png,/pokedex/slowbro,"['Poison', 'Psychic']",490,95,100,95,100,70,30,95
81,Magnemite,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png,/pokedex/magnemite,"['Electric', 'Steel']",325,25,35,70,95,55,45,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png,/pokedex/magneton,"['Electric', 'Steel']",465,50,60,95,120,70,70,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetch'd,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png,/pokedex/farfetchd,"['Normal', 'Flying']",377,52,90,55,58,62,60,52
83,Galarian Farfetch'd,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png,/pokedex/farfetchd,['Fighting'],377,52,95,55,58,62,55,52
84,Doduo,https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png,/pokedex/doduo,"['Normal', 'Flying']",310,35,85,45,35,35,75,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png,/pokedex/dodrio,"['Normal', 'Flying']",470,60,110,70,60,60,110,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png,/pokedex/seel,['Water'],325,65,45,55,45,70,45,
87,Dewgong,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png,/pokedex/dewgong,"['Water', 'Ice']",475,90,70,80,70,95,70,
88,Grimer,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png,/pokedex/grimer,['Poison'],325,80,80,50,40,50,25,80
88,Alolan Grimer,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png,/pokedex/grimer,"['Poison', 'Dark']",325,80,80,50,40,50,25,80
89,Muk,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png,/pokedex/muk,['Poison'],500,105,105,75,65,100,50,105
89,Alolan Muk,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png,/pokedex/muk,"['Poison', 'Dark']",500,105,105,75,65,100,50,105
90,Shellder,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png,/pokedex/shellder,['Water'],305,30,65,100,45,25,40,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png,/pokedex/cloyster,"['Water', 'Ice']",525,50,95,180,85,45,70,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png,/pokedex/gastly,"['Ghost', 'Poison']",310,30,35,30,100,35,80,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,Haunter,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png,/pokedex/haunter,"['Ghost', 'Poison']",405,45,50,45,115,55,95,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,Gengar,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png,/pokedex/gengar,"['Ghost', 'Poison']",500,60,65,60,130,75,110,60
94,Mega Gengar,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png,/pokedex/gengar,"['Ghost', 'Poison']",600,60,65,80,170,95,130,60
95,Onix,https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png,/pokedex/onix,"['Rock', 'Ground']",385,35,45,160,30,45,70,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png,/pokedex/drowzee,['Psychic'],328,60,48,45,43,90,42,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png,/pokedex/hypno,['Psychic'],483,85,73,70,73,115,67,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png,/pokedex/krabby,['Water'],325,30,105,90,25,25,50,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png,/pokedex/kingler,['Water'],475,55,130,115,50,50,75,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png,/pokedex/voltorb,['Electric'],330,40,30,50,55,55,100,40
100,Hisuian Voltorb,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,/pokedex/voltorb,"['Electric', 'Grass']",330,40,30,50,55,55,100,40
101,Electrode,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png,/pokedex/electrode,['Electric'],490,60,50,70,80,80,150,60
101,Hisuian Electrode,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,/pokedex/electrode,"['Electric', 'Grass']",490,60,50,70,80,80,150,60
102,Exeggcute,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png,/pokedex/exeggcute,"['Grass', 'Psychic']",325,60,40,80,60,45,40,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,Exeggutor,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png,/pokedex/exeggutor,"['Grass', 'Psychic']",530,95,95,85,125,75,55,95
103,Alolan Exeggutor,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png,/pokedex/exeggutor,"['Grass', 'Dragon']",530,95,105,85,125,75,45,95
104,Cubone,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png,/pokedex/cubone,['Ground'],320,50,50,95,40,50,35,"Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face."
105,Marowak,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png,/pokedex/marowak,['Ground'],425,60,80,110,50,80,45,60
105,Alolan Marowak,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak-alolan.png,/pokedex/marowak,"['Fire', 'Ghost']",425,60,80,110,50,80,45,60
106,Hitmonlee,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png,/pokedex/hitmonlee,['Fighting'],455,50,120,53,35,110,87,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png,/pokedex/hitmonchan,['Fighting'],455,50,105,79,35,110,76,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png,/pokedex/lickitung,['Normal'],385,90,55,75,60,75,30,Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.
109,Koffing,https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png,/pokedex/koffing,['Poison'],340,40,65,95,60,45,35,
